player_name,Role,sold_price,team,year,Player Origin,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy,value_score,normalized_score,fair_price,difference,status
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,0,2,1,0,1,55,42,7,7.857142857,0.42,0.13472151003622762,2839144.598824613,-839144.5988,Undervalued
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian,3,4,1,75,2,42,24,4,10.5,13.009999999999998,4.173159156122193,87945883.88263857,-84945883.88,Undervalued
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian,0,0,0,0,3,117,65,10.83333333,10.8,0.15000000000000002,0.048114825,1013980.2138659332,986019.7861340668,Overpaid
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian,0,0,0,0,8,143,93,15.5,9.225806452,0.4,0.1283062000345025,2703947.2369758217,17296052.763024177,Overpaid
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian,1,1,1,100,11,200,161,26.83333333,7.453416149,16.35,5.244515926,110523843.31138672,-55523843.31,Undervalued
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,15000000,Overpaid
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,5000000,Overpaid
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,5500000,Overpaid
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian,3,11,4,27.27272727,0,0,0,0,0,6.860909091,2.200742935460574,46378840.44599943,-41378840.45,Undervalued
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,4000000,Overpaid
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian,0,0,0,0,4,205,117,19.5,10.51282051,0.2,0.0641531,1351973.6184879108,5648026.381512089,Overpaid
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022,Indian,22,13,4,169.2307692,19,423,300,50,8.46,37.27461538,11.956410642888557,251971483.16521865,-151971483.2,Undervalued
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian,110,90,12,122.2222222,12,368,307,51.16666667,7.19218241,70.67333332999999,22.669567108360127,477742410.9638118,-427742411,Undervalued
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian,161,139,11,115.8273381,2,12,12,2,6,90.77410072,29.11719981072716,613620947.0432229,-611620947,Undervalued
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian,145,118,5,122.8813559,0,0,0,0,0,82.63220339,26.50556004201876,558582795.0702373,-556582795.1,Undervalued
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian,21,31,3,67.74193548,0,0,0,0,0,20.30129032,6.511953542532603,137234044.6830397,-135234044.7,Undervalued
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016,Indian,4,4,3,100,14,420,312,52,8.076923077,18.529999999999998,5.943784716598327,125260355.75290492,-113260355.8,Undervalued
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian,3,7,3,42.85714286,6,231,146,24.33333333,9.493150685,9.128571429,2.928130779496296,61707938.73245245,-39707938.73,Undervalued
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian,3,3,1,100,0,51,25,4.166666667,12.24,16.66,5.343953231437029,112619402.42004296,-78619402.42,Undervalued
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian,28,30,5,93.33333333,15,428,278,46.33333333,9.237410072,28.64,9.186723922309994,193602622.16408888,-185102622.2,Undervalued
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian,3,6,1,50,5,115,62,10.33333333,11.12903226,9.409999999999998,3.0184033558116705,63610358.74985619,-54110358.75,Undervalued
Basil Thampi,Bowler,3000000,Mumbai Indians,2022,Indian,0,0,0,0,5,158,102,17,9.294117647,0.25,0.080191375,1689967.0231098887,1310032.9768901113,Overpaid
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014,Overseas,8,6,1,133.3333333,2,31,24,4,7.75,23.909999995000003,7.669503105,161628446.05643043,-153628446.1,Undervalued
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016,Overseas,65,37,4,175.6756757,5,80,68,11.33333333,7.058823529,56.03135135499999,17.97292444,378764544.2009342,-373764544.2,Undervalued
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018,Overseas,96,59,6,162.7118644,2,169,105,17.5,9.657142857,68.00677965999999,21.814228686895735,459716859.8932012,-437716859.9,Undervalued
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,7500000,Overpaid
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014,Overseas,40,36,3,111.1111111,0,0,0,0,0,34.976666664999996,11.219307974149013,236437652.9686277,-234437653,Undervalued
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,14000000,Overpaid
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014,Overseas,0,0,0,0,9,255,175,29.16666667,8.742857143,0.45,0.1443444750388153,3041940.6415977995,6958059.358,Overpaid
Ben Laughlin,Bowler,1500000,Chennai Super Kings,2013,Overseas,4,9,2,44.44444444,1,72,45,7.5,9.6,9.176666666000001,2.943558072244368,62033056.19044708,-60533056.19,Undervalued
Ben Laughlin,Bowler,3000000,Sunrisers Hyderabad,2017,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018,Overseas,1,4,2,25,9,212,134,22.33333333,9.492537313,5.37,1.7225107354631959,36300491.656400405,-31300491.66,Undervalued
Benjamin Stokes,All-Rounder,145000000,Rising Pune Supergiant,2017,Overseas,316,227,11,139.2070485,14,327,274,45.66666667,7.160583942,161.53105727499997,51.81359036627706,1091928640.0112984,-946928640,Undervalued
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018,Overseas,196,166,12,118.0722892,9,307,232,38.66666667,7.939655172,106.8808434,34.28368717642653,722500402.8574915,-597500402.9,Undervalued
Benny Howell,All-Rounder,4000000,Punjab Kings,2022,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,4000000,Overpaid
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014,Overseas,0,1,1,0,4,127,75,12.5,10.16,0.5700000000000001,0.18283633504916605,3853124.812690546,14146875.187309455,Overpaid
